year,ward,cost,category,program,description,FNODE_ID,TNODE_ID,OBJECTID,TRANS_ID,PRE_DIR,STREET_NAM,STREET_TYP,F_CROSS,T_CROSS,MIN_ADDR,MAX_ADDR
2012,2,"$5,700.00",Beautification,Street Light Pole Painting,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),21355,35930,2528,116783,W,CONGRESS,PKWY,500 S MORGAN ST ,599 S ABERDEEN ST ,1000,1065
2012,2,"$1,500.00",Beautification,Street Light Pole Painting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),,,,,,,,,,,
2012,2,"$2,400.00",Lighting,Street Light Upgrade,ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W ROOSEVELT RD (1200 S),5795,18407,26724,119181,S,WOLCOTT,AVE,1899 W GRENSHAW ST ,1900 W ROOSEVELT RD ,1126,1155
2012,2,$350.00,Lighting,Street Light Upgrade,317 S CAMPBELL AVE,,,,,,,,,,,
2012,2,$350.00,Lighting,Street Light Upgrade,201 S ASHLAND AVE,,,,,,,,,,,
2012,2,$350.00,Lighting,Street Light Upgrade,157 S ASHLAND AVE,,,,,,,,,,,
2012,2,"$14,000.00",Lighting,Street Light Upgrade,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),,,,,,,,,,,
2012,2,$350.00,Lighting,Street Light Upgrade,3550 S GILES AVE,,,,,,,,,,,
2012,2,"$7,600.00",Lighting,Street Light Upgrade,ON CONGRESS FROM S MORGAN ST (1000 W) TO E EISENHOWER EXIT RP (1284 W),21355,35930,2528,116783,W,CONGRESS,PKWY,500 S MORGAN ST ,599 S ABERDEEN ST ,1000,1065
2012,2,"$1,400.00",Lighting,Street Light Upgrade,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S),15780,28601,36921,118206,S,HOYNE,AVE,2100 W MADISON ST ,2100 W MONROE ST ,1,39
2012,2,"$21,000.00",Lighting,Street Light Upgrade,1319 S STATE ST,,,,,,,,,,,
2012,2,$350.00,Lighting,Street Light Upgrade,547 S CLARK ST,,,,,,,,,,,
2012,2,"$2,000.00",Lighting,Street Light Upgrade,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),,,,,,,,,,,
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S WOOD ST,18638,24103,15097,162200,W,ROOSEVELT,RD,1199 S HERMITAGE AVE ,1200 S WOOD ST ,1730,1759
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S WOOD ST,24103,18407,50231,114907,W,ROOSEVELT,RD,1200 S WOOD ST ,1200 S WOLCOTT AVE ,1800,1859
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S PAULINA ST,18406,18638,17415,114908,W,ROOSEVELT,RD,1200 S PAULINA ST ,1199 S HERMITAGE AVE ,1700,1729
2012,2,"$3,500.00",Streets & Transportation,Traffic Equipment,W ROOSEVELT RD & S PAULINA ST,21852,18406,55672,115328,W,ROOSEVELT,RD,1200 S ASHLAND AVE ,1200 S PAULINA ST ,1600,1659
2012,3,"$51,363.00",Streets & Transportation,Curb & Gutter Menu,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E),11516,34338,38840,119442,E,37TH,PL,3735 S STATE ST ,3735 S WABASH AVE ,1,34
2012,3,$550.00,Streets & Transportation,In-Road 'State Law Stop For Pedestrians' Signs Menu,S STATE ST & W 23RD ST,1413,758,2993,119383,S,STATE,ST,2 W CERMAK RD ,2 W 23RD ST ,2200,2259
2012,3,$413.00,Miscellaneous,Miscellaneous Other,4434 S DR MARTIN LUTHER KING JR DR,,,,,,,,,,,
2012,3,"$3,370.00",Beautification,Miscellaneous Other,4700 S LASALLE ST Decorative Plaza Planter Fencing,,,,,,,,,,,
2012,3,$680.00,Beautification,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,14215,6033,8009,125291,E,43RD,ST,4300 S DR MARTIN LUTHER KING JR DR ,4300 S DR MARTIN LUTHER KING JR DR ,369,373
2012,3,$680.00,Beautification,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,6033,14214,15294,125193,E,43RD,ST,4300 S DR MARTIN LUTHER KING JR DR ,4301 S DR MARTIN LUTHER KING JR DR ,378,381
2012,3,$680.00,Beautification,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,34800,14215,26624,125237,E,43RD,ST,4300 S CALUMET AVE ,4300 S DR MARTIN LUTHER KING JR DR ,338,367
2012,3,$680.00,Beautification,Miscellaneous Other,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,14214,14213,41040,125187,E,43RD,ST,4301 S DR MARTIN LUTHER KING JR DR ,4300 S VERNON AVE ,400,430
2012,3,$300.00,Streets & Transportation,Pavement Markings,W 46TH PL & S SHIELDS AVE,6331,930,31328,125374,W,46TH,PL,4627 S PRINCETON AVE ,4627 S SHIELDS AVE ,300,334
2012,3,$300.00,Streets & Transportation,Pavement Markings,W 46TH PL & S SHIELDS AVE,930,14786,51250,147608,W,46TH,PL,4627 S SHIELDS AVE ,4631 S STEWART AVE ,336,357
2012,3,"$11,175.00",Streets & Transportation,Sidewalk Menu,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),35575,14802,6054,125275,S,CALUMET,AVE,339 E 46TH ST ,339 E 47TH ST ,4600,4659
2012,3,$643.00,Streets & Transportation,Sidewalk Menu,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W),27266,932,33345,125375,W,SWANN,ST,4641 S PRINCETON AVE ,4643 S SHIELDS AVE ,300,331
2012,3,"$8,979.00",Streets & Transportation,Sidewalk Menu,ON DR MARTIN LUTHER KING JR DR FROM E 44 ST (4400 S) TO E 45 ST (4500 S),,,,,,,,,,,
2012,3,"$6,790.00",Streets & Transportation,Street Resurfacing Menu,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),,,,,,,,,,,
2012,3,$350.00,Lighting,Street Light Upgrade,342 W 42ND PL,,,,,,,,,,,
2012,3,"$43,800.00",Lighting,Street Light Upgrade,ON INDIANA FROM E 31 ST (3100 S) TO E GARFIELD BV (5500 S),,,,,,,,,,,
2012,3,$350.00,Lighting,Street Light Upgrade,501 E 44TH PL,,,,,,,,,,,
2012,3,$427.00,Lighting,Street Light Upgrade,5048 S INDIANA AVE,,,,,,,,,,,
2012,3,$500.00,Lighting,Street Light Upgrade,4753 S FORRESTVILLE AVE,,,,,,,,,,,
2012,4,"$29,629.00",Streets & Transportation,Curb & Gutter Menu,ON E BOWEN AVE FROM S ST LAWRENCE AV (600 E) TO S LANGLEY AV (679 E),5961,873,39774,124913,E,BOWEN,AVE,4135 S ST LAWRENCE AVE ,4133 S LANGLEY AVE ,600,659
