FNODE_ID,F_CROSS,MAX_ADDR,MIN_ADDR,OBJECTID,PRE_DIR,STREET_NAM,STREET_TYP,TNODE_ID,TRANS_ID,T_CROSS,category,cost,description,program,ward,year
17996,315 S   ,341,314,18931,S,ASHLAND,AVE,28765,116815,1600 W VAN BUREN ST ,Streets & Transportation,800.0,ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S),Bollard Menu,2,2012
28765,1600 W VAN BUREN ST ,409,400,45910,S,ASHLAND,AVE,36736,146346,411 S   ,Streets & Transportation,800.0,ON S ASHLAND AVE FROM S TO W VAN BUREN ST (400 S),Bollard Menu,2,2012
29261,600 S WASHTENAW AVE ,2759,2700,21076,W,HARRISON,ST,22786,121689,600 S CALIFORNIA AVE ,Streets & Transportation,73623.0,ON W HARRISON ST FROM S WASHTENAW AV (2700 W) TO S CALIFORNIA AV (2800 W),Curb & Gutter Menu,2,2012
19077,44 E 24TH ST ,2429,2400,47900,S,WABASH,AVE,22326,119268,43 E 24TH PL ,Streets & Transportation,29712.0,ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S),Sidewalk Menu,2,2012
29261,600 S WASHTENAW AVE ,2759,2700,21076,W,HARRISON,ST,22786,121689,600 S CALIFORNIA AVE ,Streets & Transportation,21113.0,ON HARRISON FROM S CALIFORNIA AV (2800 W) TO S WASHTENAW AV (2700 W),Sidewalk Menu,2,2012
26251,600 W VAN BUREN ST ,431,400,4654,S,JEFFERSON,ST,33238,117342,600 W TILDEN ST ,Streets & Transportation,19182.0,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN BUREN ST (400 S),Sidewalk Menu,2,2012
2203,1500 W POLK ST ,864,800,31608,S,LAFLIN,ST,36644,150061,901 S   ,Streets & Transportation,107489.0,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,Street Resurfacing Menu,2,2012
17841,1499 W LEXINGTON ST ,737,712,35199,S,LAFLIN,ST,2203,118467,1500 W POLK ST ,Streets & Transportation,107489.0,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,Street Resurfacing Menu,2,2012
17521,800 S CALIFORNIA AVE ,2859,2800,40273,W,POLK,ST,88,122143,800 S FRANCISCO AVE ,Streets & Transportation,66167.0,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S CALIFORNIA AV (2800 W),Street Resurfacing Menu,2,2012
26583,1300 W ROOSEVELT RD ,1231,1200,46489,S,THROOP,ST,18644,150820,1300 W WASHBURNE AVE ,Streets & Transportation,35504.0,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W ROOSEVELT RD (1200 S),Street Resurfacing Menu,2,2012
