year,ward,cost,category,program,description
2012,2,"$6,600.00",Beautification,Street Light Pole Painting,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W)
2012,2,"$2,400.00",Beautification,Street Light Pole Painting,ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S WACKER (UW) DR(320 W)
2012,2,"$1,800.00",Beautification,Street Light Pole Painting,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S)
2012,2,"$5,000.00",Beautification,Street Light Pole Painting,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W)
2012,2,"$12,000.00",Beautification,Street Light Pole Painting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$2,400.00",Beautification,Street Light Pole Painting,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S)
2012,2,"$18,500.00",Beautification,Street Light Pole Painting,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S)
2012,2,"$4,200.00",Beautification,Street Light Pole Painting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E)
2012,2,"$3,600.00",Beautification,Street Light Pole Painting,ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON BV (300 S)
2012,2,"$14,100.00",Beautification,Street Light Pole Painting,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S)
2012,2,"$2,400.00",Beautification,Street Light Pole Painting,ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST (832 W)
2012,2,"$12,600.00",Beautification,Street Light Pole Painting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W)
2012,2,"$8,600.00",Beautification,Street Light Pole Painting,ON VAN BUREN FROM S STATE ST (0 E) TO S CONGRESS PLAZA DR (131 E)
2012,2,"$2,400.00",Beautification,Street Light Pole Painting,ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST (900 W)
