,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year
123,3rd,Pat Dowell,"April 27, 2007",Present,Democratic,,3,2007,
58,30,Ariel Reboyras,May 2003,"May 15, 2023",,,30,2003,2023.0
166,31st,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,
165,31st,Milly Santiago,May 2015,"May 20, 2019",N/A,,31,2015,2019.0
164,31st,Ray Suarez,1991,May 2015,N/A,,31,1991,2015.0
171,32nd,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,
60,33,Deb Mell,"July 24, 2013","May 20, 2019",,,33,2013,2019.0
61,33,Rossana Rodriguez-Sanchez,"May 20, 2019",present,,,33,2019,
59,33,Richard Mell,1975,"July 24, 2013",,,33,1975,2013.0
63,34,Bill Conway,"May 15, 2023",present,,,34,2023,
62,34,Carrie Austin,"August 5, 1994","March 1, 2023",,,34,1994,2023.0
65,35,Rey Colón,2003,2015,,,35,2003,2015.0
66,35,Carlos Ramirez-Rosa,"May 18, 2015",present,,,35,2015,
69,36,Nicholas Sposato,"May 18, 2015",present,,,36,2015,
70,36,Gilbert Villegas,"May 18, 2015",present,,,36,2015,
71,37,Emma Mitts,"January 7, 2000",present,,,37,2000,
178,38th,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,
177,38th,Timothy Cullerton,2011,2013,N/A,,38,2011,2013.0
72,39,Margaret Laurino,"July 24, 1994","May 20, 2019",,,39,1994,2019.0
73,39,Samantha Nugent,"May 15, 2023",present,,,39,2023,
129,4th,Sophia King,"April 16, 2016",present,Democratic,,4,2016,
128,4th,William D. Burns,May 2011,February 2016,Democratic,,4,2011,2016.0
76,40,Andre Vasquez,"May 20, 2019",present,,,40,2019,
75,40,Patrick J. O'Connor,May 1983,May 2019,,,40,1983,2019.0
79,41,Mary O'Connor,May 2011,May 2015,,,41,2011,2015.0
80,41,Anthony Napolitano,"May 18, 2015",present,,,41,2015,
182,42nd,Brendan Reilly,2007,Present,Democratic,,42,2007,
195,43rd,Timmy Knudsen,"September 21, 2022",Present,Democratic,,43,2022,
194,43rd,Michele Smith,"May 16, 2011","August 12, 2022",Democratic,,43,2011,2022.0
86,44,Bennett Lawson,"May 15, 2023",present,,,44,2023,
85,44,Tom Tunney,"January 16, 2003","May 15, 2023",,,44,2003,2023.0
88,45,Jim Gardiner,"May 20, 2019",present,,,45,2019,
87,45,John Arena,May 2011,May 2019,,,45,2011,2019.0
90,46,James Cappleman,"May 16, 2011","May 15, 2023",,,46,2011,2023.0
91,46,Angela Clay,"May 15, 2023",present,,,46,2023,
198,47th,Ameya Pawar,"May 16, 2011","May 20, 2019",Democratic,,47,2011,2019.0
199,47th,Matt Martin,"May 20, 2019",Present,N/A,,47,2019,
95,48,Leni Manaa-Hoppenworth,"May 15, 2023",present,,,48,2023,
94,48,Harry Osterman,"May 16, 2011","May 15, 2023",,,48,2011,2023.0
202,49th,Joe Moore,1991,"May 20, 2019",Democratic,,49,1991,2019.0
203,49th,Maria Hadden,"May 20, 2019",present,N/A,,49,2019,
2,5,Leslie Hairston,May 1999,"May 15, 2023",,,5,1999,2023.0
205,50th,Debra Silverstein,2011,present,N/A,,50,2011,
5,6,Roderick Sawyer,"May 16, 2011","May 15, 2023",,,6,2011,2023.0
9,7,Gregory Mitchell,"May 18, 2015",present,,,7,2015,
8,7,Natashia Holmes,"February 13, 2013","May 18, 2015",,,7,2013,2015.0
7,7,Sandi Jackson,"May 21, 2007","January 15, 2013",,,7,2007,2013.0
13,8,Michelle A. Harris,"December 13, 2006",present,,,8,2006,
15,9,Anthony Beale,May 1999,present,,,9,1999,
